Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
SE;RJ;Rio de Janeiro;M;entre 41 a 50 anos;2014;8;16/08/2014;26/08/2014;15/09/2014;10;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Guarulhos;M;entre 21 a 30 anos;2014;8;25/08/2014;04/09/2014;15/09/2014;10;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Vício de Qualidade;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
CO;DF;Brasília;M;entre 21 a 30 anos;2014;8;27/08/2014;06/09/2014;15/09/2014;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;São Paulo;M;entre 31 a 40 anos;2014;8;28/08/2014;02/09/2014;02/09/2014;5;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cadastro de Restrição (SPC, Serasa etc);Cobrança / Contestação;Negativação indevida (não cumprimento de acordo de parcelamento);Telefone;S;S;Finalizada avaliada;Resolvida;2
SE;SP;Mauá;F;até 20 anos;2014;8;27/08/2014;01/09/2014;01/09/2014;5;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Loja física;S;S;Finalizada avaliada;Resolvida;3
SE;SP;São Paulo;M;entre 31 a 40 anos;2014;8;07/08/2014;15/08/2014;04/09/2014;8;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Demais Empréstimos e Financiamentos (exceto imóveis e veículos);Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;MA;São Bento;F;mais de 70 anos;2014;8;07/08/2014;16/08/2014;05/09/2014;9;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 31 a 40 anos;2014;8;30/08/2014;09/09/2014;09/09/2014;10;Walmart.com;Comércio Eletrônico;Produtos de telefonia e informática;Aparelho celular;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;MG;Juiz de Fora;M;entre 31 a 40 anos;2014;8;26/08/2014;05/09/2014;26/09/2014;10;Consul;Fabricantes - Linha Branca;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 41 a 50 anos;2014;8;29/08/2014;03/09/2014;11/09/2014;5;GVT;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Internet;S;S;Finalizada avaliada;Resolvida;5
SE;SP;São Paulo;M;entre 21 a 30 anos;2014;8;31/08/2014;01/09/2014;01/09/2014;1;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada avaliada;Resolvida;5
SE;SP;São Paulo;M;entre 21 a 30 anos;2014;8;28/08/2014;01/09/2014;01/09/2014;4;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Telefone;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2014;8;31/08/2014;04/09/2014;06/09/2014;4;Submarino;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Lavadora de roupa, louça e secadora;Vício de Qualidade;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Rio de Janeiro;M;entre 21 a 30 anos;2014;8;19/08/2014;20/08/2014;02/09/2014;1;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos de telefonia e informática;Tablet;Vício de Qualidade;Falta de peça de reposição;Loja física;S;S;Finalizada avaliada;Resolvida;5
SE;MG;Juiz de Fora;F;entre 21 a 30 anos;2014;8;22/08/2014;01/09/2014;04/09/2014;10;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
SE;MG;Juiz de Fora;F;entre 21 a 30 anos;2014;8;22/08/2014;01/09/2014;04/09/2014;10;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Loja física;N;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2014;8;28/08/2014;01/09/2014;01/09/2014;4;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Internet;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2014;8;18/08/2014;28/08/2014;18/09/2014;10;Light;Energia Elétrica, Água e Esgoto;Água, Energia, Gás;Energia Elétrica;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Domicílio;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2014;8;12/08/2014;22/08/2014;11/09/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Contrato / Oferta;Serviço indisponível para a região ou sem previsão;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Rio Grande da Serra;F;entre 21 a 30 anos;2014;8;19/08/2014;29/08/2014;19/09/2014;10;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Vício de Qualidade;Dificuldade de contato ou acesso aos serviços - caixa eletrônico, agência, internet banking;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;8;29/08/2014;08/09/2014;08/09/2014;10;Mercadorama;Supermercados;Alimentos;Supermercados e Conveniências;Vício de Qualidade;Não fornecimento de nota fiscal/recibo;Loja física;S;S;Finalizada avaliada;Resolvida;5
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;8;25/08/2014;02/09/2014;03/09/2014;8;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Vício de Qualidade;Bloqueio / Suspensão indevida do serviço;Loja física;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Rio de Janeiro;F;entre 31 a 40 anos;2014;8;29/08/2014;01/09/2014;22/09/2014;3;Banco Santander Cartões;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Vício de Qualidade;Não entrega de cartão;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 51 a 60 anos;2014;8;11/08/2014;20/08/2014;08/09/2014;9;Tam;Transporte Aéreo;Demais Serviços ;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Contrato / Oferta;Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc);Internet;S;S;Finalizada avaliada;Não Resolvida;1
S ;PR;Curitiba;M;entre 21 a 30 anos;2014;8;28/08/2014;02/09/2014;23/09/2014;5;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cadastro de Restrição (SPC, Serasa etc);Cobrança / Contestação;Cobrança submetendo a ofensa, constrangimento ou ameaça;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;F;até 20 anos;2014;8;22/08/2014;29/08/2014;17/09/2014;7;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;N;S;Finalizada avaliada;Não Resolvida;2
S ;PR;Colombo;F;até 20 anos;2014;8;13/08/2014;14/08/2014;03/09/2014;1;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Loja física;N;S;Finalizada avaliada;Resolvida;3
S ;PR;Curitiba;F;entre 21 a 30 anos;2014;8;27/08/2014;05/09/2014;05/09/2014;9;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Cobrança / Contestação;Cobrança após cancelamento do serviço;Loja física;S;S;Finalizada avaliada;Resolvida;4
S ;PR;Colombo;F;até 20 anos;2014;8;13/08/2014;14/08/2014;03/09/2014;1;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;N;S;Finalizada avaliada;Resolvida;5
S ;PR;Curitiba;M;entre 21 a 30 anos;2014;8;18/08/2014;26/08/2014;08/09/2014;8;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;4
S ;PR;Jaboti;M;entre 21 a 30 anos;2014;8;28/08/2014;05/09/2014;05/09/2014;8;Extra.com;Comércio Eletrônico;Produtos de telefonia e informática;Aparelho celular;Cobrança / Contestação;Cobrança de valor para a devolução do produto;Internet;S;S;Finalizada avaliada;Resolvida;5
NE;PE;Paulista;M;entre 21 a 30 anos;2014;8;29/08/2014;08/09/2014;11/09/2014;10;Credicard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada avaliada;Resolvida;5
S ;PR;Curitiba;F;entre 61 a 70 anos;2014;8;18/08/2014;20/08/2014;09/09/2014;2;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Contrato / Oferta;Dificuldade para rescindir o contrato / cancelar o serviço;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Paulista;M;entre 21 a 30 anos;2014;8;23/08/2014;02/09/2014;02/09/2014;10;Itaucard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Loja física;S;S;Finalizada avaliada;Resolvida;5
NE;PE;Paulista;M;entre 21 a 30 anos;2014;8;24/08/2014;02/09/2014;02/09/2014;9;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Telefone;N;S;Finalizada avaliada;Resolvida;5
SE;ES;Vila Velha;M;entre 21 a 30 anos;2014;8;25/08/2014;02/09/2014;23/09/2014;8;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Contrato / Oferta;Dificuldade para contratar / recusa injustificada;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Vila Velha;M;entre 21 a 30 anos;2014;8;11/08/2014;21/08/2014;10/09/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Santo André;M;entre 21 a 30 anos;2014;8;19/08/2014;26/08/2014;02/09/2014;7;Sou barato;Comércio Eletrônico;Demais Produtos;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Rio de Janeiro;F;entre 51 a 60 anos;2014;8;28/08/2014;02/09/2014;23/09/2014;5;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cadastro de Restrição (SPC, Serasa etc);Cobrança / Contestação;Negativação indevida - desconhece motivo e/ou fornecedor;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Caruaru;M;entre 21 a 30 anos;2014;8;28/08/2014;02/09/2014;02/09/2014;5;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;1
SE;RJ;São Gonçalo;M;entre 31 a 40 anos;2014;8;19/08/2014;29/08/2014;01/09/2014;10;Itaucard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Dificuldade para contratar / recusa injustificada;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
S ;PR;Curitiba;F;entre 21 a 30 anos;2014;8;07/08/2014;13/08/2014;02/09/2014;6;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 21 a 30 anos;2014;8;15/08/2014;19/08/2014;08/09/2014;4;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;8;11/08/2014;12/08/2014;01/09/2014;1;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Telefone;N;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;F;entre 51 a 60 anos;2014;8;13/08/2014;22/08/2014;11/09/2014;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Jaboatão dos Guararapes;M;entre 21 a 30 anos;2014;8;30/08/2014;09/09/2014;09/09/2014;10;Itaucard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Vício de Qualidade;Clonagem, fraude, furto e roubo;Telefone;N;S;Finalizada avaliada;Não Resolvida;1
SE;MG;Lambari;M;entre 21 a 30 anos;2014;8;05/08/2014;15/08/2014;04/09/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho celular;Informação;Informações incompletas / inadequadas sobre o produto (na oferta ou no manual);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Lambari;M;entre 21 a 30 anos;2014;8;22/08/2014;01/09/2014;22/09/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Contrato / Oferta;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Lambari;M;entre 21 a 30 anos;2014;8;31/08/2014;01/09/2014;01/09/2014;1;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Contrato / Oferta;Dificuldade para contratar / recusa injustificada;Telefone;S;S;Finalizada avaliada;Resolvida;5
SE;MG;Lambari;M;entre 21 a 30 anos;2014;8;26/08/2014;03/09/2014;09/09/2014;8;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Telefone;S;S;Finalizada avaliada;Resolvida;5
SE;MG;Lambari;M;entre 21 a 30 anos;2014;8;20/08/2014;;17/09/2014;;Pontofrio.com;Comércio Eletrônico;Demais Serviços ;Serviços de áudio, foto e imagem;Contrato / Oferta;Publicidade abusiva / ofensiva / discriminatória;Internet;N;N;Finalizada avaliada;Não Resolvida;1
SE;MG;Lambari;M;entre 21 a 30 anos;2014;8;31/08/2014;02/09/2014;06/09/2014;2;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Não comprei / contratei;N;S;Finalizada avaliada;Não Resolvida;2
SE;MG;Lambari;M;entre 21 a 30 anos;2014;8;21/08/2014;29/08/2014;02/09/2014;8;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Demais aparelhos de comunicação;Entrega do Produto;Produto entregue incompleto / diferente do  pedido;Internet;N;S;Finalizada avaliada;Resolvida;4
SE;MG;Lambari;M;entre 21 a 30 anos;2014;8;21/08/2014;29/08/2014;01/09/2014;8;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Contrato / Oferta;Dificuldade para contratar / recusa injustificada;Telefone;S;S;Finalizada avaliada;Resolvida;4
SE;MG;Lambari;M;entre 21 a 30 anos;2014;8;24/08/2014;03/09/2014;24/09/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;N;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Lambari;M;entre 21 a 30 anos;2014;8;29/08/2014;08/09/2014;29/09/2014;10;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Lambari;M;entre 21 a 30 anos;2014;8;22/08/2014;01/09/2014;02/09/2014;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Vício de Qualidade;Não fornecimento da conta detalhada;Telefone;N;S;Finalizada avaliada;Não Resolvida;1
NE;BA;Salvador;M;entre 31 a 40 anos;2014;8;27/08/2014;04/09/2014;10/09/2014;8;Walmart.com;Comércio Eletrônico;Produtos de telefonia e informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada avaliada;Resolvida;5
NE;BA;Salvador;M;entre 31 a 40 anos;2014;8;27/08/2014;01/09/2014;10/09/2014;5;Extra.com;Comércio Eletrônico;Produtos de telefonia e informática;Microcomputador e laptops;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada avaliada;Não Resolvida;1
SE;SP;São Paulo;M;entre 31 a 40 anos;2014;8;25/08/2014;30/08/2014;07/09/2014;5;Submarino;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;N;S;Finalizada avaliada;Resolvida;4
SE;SP;São Paulo;M;entre 31 a 40 anos;2014;8;14/08/2014;18/08/2014;07/09/2014;4;Banco Bradesco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;N;S;Finalizada não avaliada;Não Avaliada;
NE;PE;São Lourenço da Mata;M;entre 21 a 30 anos;2014;8;23/08/2014;02/09/2014;02/09/2014;10;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Vício de Qualidade;Bloqueio / Suspensão indevida do serviço;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
CO;MT;Cuiabá;F;entre 31 a 40 anos;2014;8;19/08/2014;20/08/2014;09/09/2014;1;Banco Bradesco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Domicílio;S;S;Finalizada não avaliada;Não Avaliada;
NE;MA;Carolina;M;entre 21 a 30 anos;2014;8;15/08/2014;25/08/2014;14/09/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Atendimento / SAC;SAC - Descortesia / despreparo / demora;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Recife;M;entre 31 a 40 anos;2014;8;25/08/2014;02/09/2014;21/09/2014;8;Itauleasing;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada avaliada;Resolvida;5
NE;PE;Recife;M;entre 31 a 40 anos;2014;8;25/08/2014;03/09/2014;24/09/2014;9;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
