Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
NE;BA;Salvador;F;entre 31 a 40 anos;2014;7;31/07/2014;25/08/2014;14/09/2014;10;Luizacred;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cadastro de Restrição (SPC, Serasa etc);Cobrança / Contestação;Cobrança submetendo a ofensa, constrangimento ou ameaça;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 31 a 40 anos;2014;8;19/08/2014;25/08/2014;14/09/2014;6;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Atendimento / SAC;SAC - Dificuldadede de contato / acesso;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Franca;M;entre 21 a 30 anos;2014;8;25/08/2014;29/08/2014;15/09/2014;4;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
S ;PR;Curitiba;F;entre 31 a 40 anos;2014;8;17/08/2014;27/08/2014;17/09/2014;10;Amil;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Produtos relacionados a saúde, exceto medicamentos ( próteses, aparelhos corretivos, auxiliares de diagnóstico, auxiliares de tratamento, produtos óticos, ortopédicos, contraceptivos, preventivos de DST etc);Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;F;entre 31 a 40 anos;2014;8;17/08/2014;27/08/2014;17/09/2014;10;Amil;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;F;entre 41 a 50 anos;2014;8;12/08/2014;13/08/2014;02/09/2014;1;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Vício de Qualidade;Fila em banco;Loja física;S;S;Finalizada avaliada;Resolvida;4
SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2014;8;25/08/2014;28/08/2014;01/09/2014;3;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho celular;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Telefone;N;S;Finalizada avaliada;Resolvida;5
CO;DF;Brasília;F;entre 41 a 50 anos;2014;8;15/08/2014;16/08/2014;03/09/2014;1;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Loja física;S;S;Finalizada avaliada;Resolvida;5
CO;DF;Brasília;M;entre 31 a 40 anos;2014;8;07/08/2014;16/08/2014;05/09/2014;9;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Atendimento / SAC;SAC - Dificuldade em obter protocolo, gravação ou histórico;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Rio de Janeiro;M;entre 41 a 50 anos;2014;8;20/08/2014;29/08/2014;19/09/2014;9;Itauleasing;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
