Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
SE;SP;São Paulo;M;entre 31 a 40 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho de telefone fixo / interfone;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Recife;M;entre 21 a 30 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Magazineluiza.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Guarulhos;M;entre 21 a 30 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Magazineluiza.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Itabuna;M;entre 31 a 40 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Magazineluiza.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Recife;M;entre 31 a 40 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Magazineluiza.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;MS;Campo Grande;F;entre 31 a 40 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Ricardo Eletro.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Vila Velha;F;entre 21 a 30 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Ganhei de presente;S;S;Finalizada não avaliada;Não Avaliada;
S ;PR;Curitiba;M;entre 21 a 30 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 31 a 40 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho celular;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 31 a 40 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho de telefone fixo / interfone;Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 41 a 50 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Vício de Qualidade;Margem consignável - bloqueio/ contestação;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Belo Horizonte;F;entre 61 a 70 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Banco BMG;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 31 a 40 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Suzano;M;entre 21 a 30 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Casasbahia.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Entrega do Produto;Produto entregue incompleto / diferente do  pedido;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;GO;Valparaíso de Goiás;M;entre 61 a 70 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Timóteo;M;entre 31 a 40 anos;2014;10;31/10/2014;10/11/2014;01/12/2014;10;Magazineluiza.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
