Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
SE;SP;São Paulo;M;entre 31 a 40 anos;2014;7;28/07/2014;06/08/2014;26/08/2014;9;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho de telefone fixo / interfone;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 31 a 40 anos;2014;7;15/07/2014;22/07/2014;09/08/2014;7;Tam;Transporte Aéreo;Transportes;Aéreo;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;S;Finalizada avaliada;Resolvida;5
SE;SP;Guarulhos;M;entre 21 a 30 anos;2014;7;30/07/2014;01/08/2014;01/08/2014;2;Banco Itaú Unibanco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cadastro de Restrição (SPC, Serasa etc);Contrato / Oferta;Dificuldade para contratar / recusa injustificada;Loja física;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Rio de Janeiro;M;entre 41 a 50 anos;2014;7;16/07/2014;21/07/2014;10/08/2014;5;Itaú Seguros;Corretoras e Sociedades de Seguros, Capitalização e Previdência;Serviços Financeiros;Seguro Habitacional / Residencial;Contrato / Oferta;Cláusulas irregulares / abusivas / de interpretação dúbia;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Rio de Janeiro;M;entre 21 a 30 anos;2014;7;17/07/2014;19/07/2014;05/08/2014;2;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Contrato / Oferta;Fidelização indevida (multa não permitida, acima do prazo, não informada);Telefone;S;S;Finalizada avaliada;Resolvida;2
SE;RJ;São Gonçalo;M;entre 41 a 50 anos;2014;7;26/07/2014;02/08/2014;04/08/2014;7;Extra.com;Comércio Eletrônico;Demais Produtos;Móveis e Colchões;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Não Resolvida;1
CO;DF;Brasília;F;entre 21 a 30 anos;2014;7;19/07/2014;28/07/2014;08/08/2014;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Telefone;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;Tremembé;F;entre 31 a 40 anos;2014;7;31/07/2014;08/08/2014;11/08/2014;8;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos de telefonia e informática;Tablet;Cobrança / Contestação;Negativação indevida;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2014;7;24/07/2014;28/07/2014;01/08/2014;4;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos de telefonia e informática;Aparelho celular;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Loja física;S;S;Finalizada avaliada;Resolvida;3
CO;DF;Brasília;M;entre 31 a 40 anos;2014;7;29/07/2014;08/08/2014;28/08/2014;10;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança de compra/saque não reconhecido / Contestação de cobrança;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
