Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;5;30/05/2014;03/06/2014;07/06/2014;4;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Cobrança / Contestação;Cobrança de compra/saque não reconhecido / Contestação de cobrança;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
S ;PR;Curitiba;M;entre 21 a 30 anos;2014;5;29/05/2014;29/05/2014;08/06/2014;0;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança após cancelamento do serviço;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2014;5;27/05/2014;02/06/2014;02/06/2014;6;Garantec;Corretoras e Sociedades de Seguros, Capitalização e Previdência;Serviços Financeiros;Seguro Garantia Estendida;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Loja física;S;S;Finalizada avaliada;Resolvida;5
SE;RJ;Rio de Janeiro;M;entre 51 a 60 anos;2014;5;27/05/2014;30/05/2014;09/06/2014;3;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Atendimento / SAC;SAC - Descortesia / despreparo / demora;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;F;entre 51 a 60 anos;2014;5;23/05/2014;29/05/2014;08/06/2014;6;Bradesco Auto/RE;Corretoras e Sociedades de Seguros, Capitalização e Previdência;Serviços Financeiros;Seguros de Veículos;Contrato / Oferta;Negativa de cobertura / Demora injustificada ou Divergência na indenização;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
N ;AC;Rio Branco;F;entre 21 a 30 anos;2014;5;23/05/2014;28/05/2014;07/06/2014;5;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 31 a 40 anos;2014;5;23/05/2014;30/05/2014;03/06/2014;7;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Loja física;N;S;Finalizada avaliada;Resolvida;4
CO;DF;Brasília;M;entre 41 a 50 anos;2014;5;23/05/2014;26/05/2014;05/06/2014;3;Ponto Frio;Varejo;Produtos Eletrodomésticos e Eletrônicos;Refrigerador / freezer;Cobrança / Contestação;Cobrança de valor para a devolução do produto;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;MA;Coroatá;M;entre 51 a 60 anos;2014;5;28/05/2014;07/06/2014;10/06/2014;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada avaliada;Não Resolvida;1
NE;MA;São Luís;M;entre 21 a 30 anos;2014;5;28/05/2014;03/06/2014;13/06/2014;6;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;MA;São Luís;F;entre 21 a 30 anos;2014;5;24/05/2014;03/06/2014;04/06/2014;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Telefone;S;S;Finalizada avaliada;Resolvida;1
CO;DF;Brasília;F;entre 61 a 70 anos;2014;5;25/05/2014;28/05/2014;02/06/2014;3;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Contrato / Oferta;Dificuldade para rescindir o contrato / cancelar o serviço;Internet;S;S;Finalizada avaliada;Não Resolvida;3
CO;DF;Brasília;M;entre 41 a 50 anos;2014;5;28/05/2014;29/05/2014;08/06/2014;1;Ponto Frio;Varejo;Produtos Eletrodomésticos e Eletrônicos;Refrigerador / freezer;Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 31 a 40 anos;2014;5;25/05/2014;02/06/2014;12/06/2014;8;Pontofrio.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Televisão;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 51 a 60 anos;2014;5;26/05/2014;04/06/2014;06/06/2014;9;Submarino Viagens;Agências de Viagens;Turismo/Viagens;Transfer / Receptivo;Contrato / Oferta;Dificuldade para alterar ou cancelar o contrato /serviço;Internet;S;S;Finalizada avaliada;Resolvida;3
CO;DF;Brasília;M;entre 41 a 50 anos;2014;5;28/05/2014;30/05/2014;02/06/2014;2;BB Seguro Auto;Corretoras e Sociedades de Seguros, Capitalização e Previdência;Serviços Financeiros;Seguros de Veículos;Cobrança / Contestação;Cobrança submetendo a ofensa, constrangimento ou ameaça;Telefone;S;S;Finalizada avaliada;Resolvida;4
NE;MA;São Luís;M;entre 41 a 50 anos;2014;5;28/05/2014;07/06/2014;16/06/2014;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Telefone;S;S;Finalizada avaliada;Resolvida;4
NE;MA;São Luís;M;entre 41 a 50 anos;2014;5;28/05/2014;07/06/2014;16/06/2014;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;4
SE;RJ;Rio de Janeiro;M;entre 31 a 40 anos;2014;5;26/05/2014;05/06/2014;15/06/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho celular;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 61 a 70 anos;2014;5;27/05/2014;06/06/2014;08/06/2014;10;Banco BMG;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
NE;MA;São Luís;F;entre 31 a 40 anos;2014;5;27/05/2014;29/05/2014;03/06/2014;2;Santander Financiamentos;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada avaliada;Resolvida;1
NE;MA;São Luís;M;entre 41 a 50 anos;2014;5;28/05/2014;07/06/2014;16/06/2014;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;S;Finalizada avaliada;Não Resolvida;3
CO;DF;Brasília;F;entre 31 a 40 anos;2014;5;28/05/2014;04/06/2014;14/06/2014;7;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Stand, feiras e eventos;S;S;Finalizada não avaliada;Não Avaliada;
NE;MA;São Luís;M;entre 31 a 40 anos;2014;5;28/05/2014;04/06/2014;14/06/2014;7;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
N ;AC;Rio Branco;F;entre 51 a 60 anos;2014;5;26/05/2014;05/06/2014;06/06/2014;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada avaliada;Não Resolvida;3
CO;DF;Brasília;F;entre 31 a 40 anos;2014;5;27/05/2014;06/06/2014;16/06/2014;10;Avianca - Oceanair;Transporte Aéreo;Transportes;Aéreo;Vício de Qualidade;Atraso de vôo;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 51 a 60 anos;2014;5;28/05/2014;04/06/2014;14/06/2014;7;GVT;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Cobrança após cancelamento do serviço;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
N ;AC;Rio Branco;F;entre 21 a 30 anos;2014;5;28/05/2014;02/06/2014;05/06/2014;5;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Cobrança / Contestação;Negativação indevida referente à pagamento já efetuado;Loja física;S;S;Finalizada avaliada;Resolvida;5
