Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
NE;BA;Salvador;F;entre 31 a 40 anos;2014;9;30/09/2014;23/10/2014;13/11/2014;10;Casas Bahia;Varejo;Demais Produtos;Móveis e Colchões;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;F;entre 21 a 30 anos;2014;9;30/09/2014;;01/11/2014;;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;N;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 51 a 60 anos;2014;10;30/10/2014;07/11/2014;28/11/2014;8;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Vício de Qualidade;Portabilidade não efetivada;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Barreiras;M;entre 21 a 30 anos;2014;10;31/10/2014;03/11/2014;10/11/2014;3;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Demais aparelhos de comunicação;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Telefone;S;S;Finalizada avaliada;Resolvida;4
CO;GO;Aparecida de Goiânia;M;entre 21 a 30 anos;2014;10;30/10/2014;06/11/2014;06/11/2014;7;GVT;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Telefone;S;S;Finalizada avaliada;Resolvida;4
CO;MT;Várzea Grande;F;entre 21 a 30 anos;2014;10;30/10/2014;05/11/2014;10/11/2014;6;Bradesco Seguros;Corretoras e Sociedades de Seguros, Capitalização e Previdência;Serviços Financeiros;Seguros de Veículos;Contrato / Oferta;Negativa de cobertura / Demora injustificada ou Divergência na indenização;Loja física;S;S;Finalizada avaliada;Não Resolvida;1
S ;PR;Curitiba;M;entre 31 a 40 anos;2014;10;27/10/2014;06/11/2014;10/11/2014;10;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança após cancelamento do serviço;Telefone;S;S;Finalizada avaliada;Resolvida;4
SE;SP;Campinas;F;entre 31 a 40 anos;2014;10;31/10/2014;05/11/2014;22/11/2014;5;Droga Raia;Farmácias;Demais Produtos;Perfumaria, cosméticos e higiene pessoal;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Loja física;N;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Rio de Janeiro;M;entre 41 a 50 anos;2014;10;27/10/2014;04/11/2014;26/11/2014;8;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Feira de Santana;F;entre 21 a 30 anos;2014;10;27/10/2014;31/10/2014;04/11/2014;4;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5
S ;SC;Siderópolis;F;entre 41 a 50 anos;2014;10;27/10/2014;04/11/2014;26/11/2014;8;Itaú BMG Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
