Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
SE;ES;Baixo Guandu;F;entre 31 a 40 anos;2014;9;17/09/2014;24/09/2014;15/10/2014;7;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho de telefone fixo / interfone;Cobrança / Contestação;Cobrança adicional não informada previamente (frete, montagem, taxas);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Baixo Guandu;F;entre 31 a 40 anos;2014;9;04/09/2014;10/09/2014;01/10/2014;6;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho de telefone fixo / interfone;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Salvador;M;entre 41 a 50 anos;2014;9;22/09/2014;26/09/2014;17/10/2014;4;Bradesco Saúde;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Cobrança / Contestação;Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Recife;M;entre 41 a 50 anos;2014;9;18/09/2014;26/09/2014;14/10/2014;8;Bompreço Supermercados;Supermercados;Produtos Eletrodomésticos e Eletrônicos;Lavadora de roupa, louça e secadora;Entrega do Produto;Não entrega / demora na entrega do produto;Loja física;S;S;Finalizada avaliada;Resolvida;4
S ;PR;Curitiba;F;entre 41 a 50 anos;2014;9;16/09/2014;26/09/2014;09/10/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Domicílio;S;S;Finalizada avaliada;Resolvida;1
S ;PR;Itaúna do Sul;M;até 20 anos;2014;9;17/09/2014;27/09/2014;06/10/2014;10;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Atendimento / SAC;SAC - Demanda não resolvida / não respondida;Telefone;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;Diadema;F;entre 21 a 30 anos;2014;9;05/09/2014;15/09/2014;06/10/2014;10;Casasbahia.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 41 a 50 anos;2014;9;14/09/2014;24/09/2014;15/10/2014;10;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança após cancelamento do serviço;Catálogo;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Itabuna;M;entre 31 a 40 anos;2014;9;24/09/2014;03/10/2014;24/10/2014;9;Magazineluiza.com;Comércio Eletrônico;Produtos de telefonia e informática;Tablet;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Itabuna;M;entre 31 a 40 anos;2014;9;24/09/2014;03/10/2014;24/10/2014;9;Magazineluiza.com;Comércio Eletrônico;Demais Produtos;Perfumaria, cosméticos e higiene pessoal;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;Guaratinguetá;M;entre 31 a 40 anos;2014;9;16/09/2014;22/09/2014;10/10/2014;6;Magazineluiza.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada avaliada;Resolvida;5
SE;MG;Belo Horizonte;M;entre 41 a 50 anos;2014;9;19/09/2014;29/09/2014;20/10/2014;10;Vivo - Telefônica ;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho celular;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;MA;São Luís;F;entre 51 a 60 anos;2014;9;22/09/2014;02/10/2014;08/10/2014;10;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (Empréstimo descontado em folha de pagamento);Cobrança / Contestação;Cobrança submetendo a ofensa, constrangimento ou ameaça;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1
SE;MG;Curvelo;F;entre 41 a 50 anos;2014;9;30/09/2014;10/10/2014;28/10/2014;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho celular;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada avaliada;Resolvida;5
SE;MG;Curvelo;F;entre 41 a 50 anos;2014;9;30/09/2014;10/10/2014;31/10/2014;10;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Aparelho celular;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Paulista;F;entre 61 a 70 anos;2014;9;16/09/2014;26/09/2014;17/10/2014;10;Banco BMG;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Mimoso do Sul;M;entre 21 a 30 anos;2014;9;16/09/2014;26/09/2014;17/10/2014;10;Casasbahia.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Refrigerador / freezer;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Carlos;M;entre 21 a 30 anos;2014;9;25/09/2014;01/10/2014;22/10/2014;6;Extra.com;Comércio Eletrônico;Demais Produtos;Produtos para crianças (carrinho, brinquedos, cadeira, vestuário, mamadeira, etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;
